row,col,latitude,longitude,Map Data
2,4,18.912316040147967,72.82261711132328,Cafe Coffee Day is a Food & Drink; Colaba Fire Station is a Government & Public Services; Moshe's is a Food & Drink; TreeHouse is a Educational; King Plaza is a Commercial; Student's General Store is a Commercial; MTNL Customer Centre is a Commercial; B.D. Somani International School is a Educational; Mira Pre-School is a Educational; B.D. Somani Institute of Art and Fashion Technology is a Educational; Jean-Claude Biguine is a Commercial; Santoor is a Food & Drink; Go Bonkers is a Leisure & Entertainment; Nature's Basket is a Commercial; Flamboyanté is a Food & Drink; The Village is a Food & Drink; Noble Plus is a Commercial; Tikamdas Motiram Jewellers is a Commercial; Kamats is a Food & Drink; Deputy High Commission of Bangladesh is a Commercial; MTNL Telephone Exchange is a Commercial; Indu Clinic is a Healthcare; Consulate General of the United Arab Emirates is a Commercial; Malpani Infertility Clinic is a Healthcare; Indian Batteries is a Commercial; Mumbai is a Natural; MVIRDC World Trade Centre is a Commercial; CPRA Greens is a Leisure & Entertainment; Taj President is a Leisure & Entertainment; Mumbai Port Trust Garden is a Leisure & Entertainment; Dalit Nagar is a Residential; Sassoon Docks is a Industrial; Backbay BEST Bus Depot is a Industrial; Bayview Marina is a Leisure & Entertainment; Sagar Sangeet is a Residential; Sea Wind is a Residential; Raheja Mittal is a Residential; Hotel Supreme is a Commercial; Revile is a Residential; Durgamata Tower is a Residential; President House is a Commercial; Colaba Municipal Secondary School is a Educational; Sidhwa House is a Industrial; Atur Terraces is a Residential; Railway Officers Transit Flats is a Residential; Lovely Home is a Residential; Dalamal Apartments is a Residential; Jolly Maker III is a Residential; Venus Apartments is a Residential; Jupiter Apartments is a Residential; Dalamal Park is a Residential; Mehr-dad is a Residential; Jolly Maker 1 - B Wing is a Residential; Jolly Maker 1 - A Wing is a Residential; Cuffe Castle is a Residential; Sunita is a Residential; Sea Lord B Wing is a Residential; Basant is a Residential; Satnam Apartments is a Residential; Jolly Maker II is a Residential; Adarsh is a Residential; Casablanca is a Residential; Palm Springs is a Residential; Persepolis is a Residential; Sunflower is a Residential; Cuffe Parade Telephone Exchange is a Commercial; Iris is a Residential; Dunne's Institute is a Educational; Sainara is a Residential; Colaba Woods Garden is a Leisure & Entertainment; G.D. Somani Memorial School (ICSE) is a Landuse: Education; Maker Arcade is a Commercial; Cuffe Parade is a Landuse: Construction; Colaba Municipal Hindi School No 2 is a Educational; Cuffe Parade Police Station is a Government & Public Services; Jaikiran is a Residential; Sea Lord is a Residential; Jolly Maker 3 is a Residential; Maker Chambers is a Residential; Cuffe Parade Park is a Leisure & Entertainment; Quest End is a Residential; Mehr-Naz is a Residential; World Trade Centre Arcade is a Commercial; 
2,5,18.912316040147967,72.8321222471729,India Guesthouse is a Leisure & Entertainment; Sea Shore Guesthouse is a Leisure & Entertainment; Go Bonkers is a Leisure & Entertainment; Mezban is a Food & Drink; Kuckeliku Breakfast House is a Food & Drink; Hotel Harbour View is a Leisure & Entertainment; The Courtyard is a Commercial; Sassoon Docks is a Industrial; Colaba Municipal Secondary School is a Educational; Sidhwa House is a Industrial; Rahat Enterprises is a Commercial; Colaba Municipal Hindi School No 2 is a Educational; Fun Planet is a Leisure & Entertainment; 
2,6,18.912316040147967,72.84162738302253,
2,7,18.912316040147967,72.85113251887215,
2,8,18.912316040147967,72.86063765472176,
2,9,18.912316040147967,72.87014279057138,
2,10,18.912316040147967,72.879647926421,
2,11,18.912316040147967,72.88915306227062,
2,12,18.912316040147967,72.89865819812024,
2,13,18.912316040147967,72.90816333396985,
2,14,18.912316040147967,72.91766846981947,Uran Naval Base is a Landuse: Military; 
2,15,18.912316040147967,72.9271736056691,Uran Naval Base is a Landuse: Military; 
2,16,18.912316040147967,72.93667874151872,
2,17,18.912316040147967,72.94618387736834,
2,18,18.912316040147967,72.95568901321795,
2,19,18.912316040147967,72.96519414906757,
2,20,18.912316040147967,72.9746992849172,JNPT is a Industrial; JNPT Township is a Residential; Jaskhar is a Residential; 
2,21,18.912316040147967,72.98420442076682,Jawaharlal Nehru Port Trust is a Industrial; Sonari is a Residential; Jaskhar is a Residential; 
2,22,18.912316040147967,72.99370955661644,Jawaharlal Nehru Port Trust is a Industrial; Sonari is a Residential; 
2,23,18.912316040147967,73.00321469246605,
2,24,18.912316040147967,73.01271982831567,
2,25,18.912316040147967,73.02222496416529,
2,26,18.912316040147967,73.03173010001491,
2,27,18.912316040147967,73.04123523586453,
2,28,18.912316040147967,73.05074037171414,
2,29,18.912316040147967,73.06024550756376,
2,30,18.912316040147967,73.06975064341339,Ransai Reservoir is a Natural; 
2,31,18.912316040147967,73.07925577926301,
2,32,18.912316040147967,73.08876091511263,
2,33,18.912316040147967,73.09826605096224,
2,34,18.912316040147967,73.10777118681186,
3,0,18.921309256207156,72.78459656792481,
3,1,18.921309256207156,72.79410170377443,
3,2,18.921309256207156,72.80360683962405,
3,3,18.921309256207156,72.81311197547366,Cafe Coffee Day is a Food & Drink; King Plaza is a Commercial; Santoor is a Food & Drink; Noble Plus is a Commercial; Tikamdas Motiram Jewellers is a Commercial; Kamats is a Food & Drink; Nariman Point is a Leisure & Entertainment; Royal Consulate General of Saudi Arabia is a Commercial; Mumbai is a Natural; Maker Tower is a Residential; Maker Arcade is a Commercial; Maker Chambers is a Residential; Cuffe Parade Park is a Leisure & Entertainment; 
